City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,gorontalo,0.5412,123.0595,25.97,85,99,0.79,ID,1699742086
1,atafu village,-8.5421,-172.5159,29.04,73,44,3.57,TK,1699741856
2,bredasdorp,-34.5322,20.0403,16.04,71,49,4.15,ZA,1699742009
3,hawaiian paradise park,19.5933,-154.9731,27.15,79,100,2.06,US,1699741984
4,dunedin,-45.8742,170.5036,17.82,64,62,0.45,NZ,1699741809
5,albany,42.6001,-73.9662,4.09,65,3,4.92,US,1699741874
6,remire-montjoly,4.9167,-52.2667,27.31,82,5,6.2,GF,1699742086
7,grytviken,-54.2811,-36.5092,2.48,94,64,0.22,GS,1699742087
8,taco pozo,-25.6167,-63.2833,33.94,36,30,1.47,AR,1699742087
9,tiksi,71.6872,128.8694,-10.47,92,100,4.7,RU,1699742087
10,port-aux-francais,-49.35,70.2167,2.81,69,8,8.35,TF,1699741820
11,nguigmi,14.2495,13.1092,27.64,27,99,4.64,NE,1699742087
12,adamstown,-25.066,-130.1015,23.08,81,22,5.42,PN,1699741814
13,waitangi,-43.9535,-176.5597,13.23,80,1,3.13,NZ,1699742087
14,riberalta,-10.9833,-66.1,35.11,52,75,0.0,BO,1699742087
15,yellowknife,62.456,-114.3525,0.79,99,75,3.09,CA,1699742087
16,ar rutbah,33.0381,40.2848,19.43,32,89,4.79,IQ,1699742087
17,puerto ayora,-0.7393,-90.3518,27.98,88,73,1.79,EC,1699741839
18,olonkinbyen,70.9221,-8.7187,0.83,88,88,6.09,SJ,1699742087
19,port elizabeth,-33.918,25.5701,18.16,74,20,7.72,ZA,1699741855
20,minas de marcona,-15.2119,-75.1103,15.38,86,75,6.57,PE,1699742088
21,ilulissat,69.2167,-51.1,-6.99,45,100,2.06,GL,1699742088
22,itoman,26.1247,127.6694,20.22,94,75,9.26,JP,1699742088
23,ushuaia,-54.8,-68.3,6.81,61,40,3.58,AR,1699741831
24,sosnogorsk,63.6023,53.8817,-1.37,96,100,3.13,RU,1699742088
25,whitehorse,60.7161,-135.0538,-0.5,89,75,2.68,CA,1699742088
26,zhanaozen,43.3,52.8,6.94,65,7,4.16,KZ,1699742088
27,timimoun,29.2639,0.231,19.21,34,0,1.54,DZ,1699742088
28,new norfolk,-42.7826,147.0587,13.72,61,97,3.34,AU,1699742088
29,valdosta,30.8327,-83.2785,18.95,88,100,5.14,US,1699742088
30,tura,25.5198,90.2201,17.67,88,0,1.74,IN,1699742088
31,cabo san lucas,22.8909,-109.9124,29.23,54,20,3.09,MX,1699741273
32,bilibino,68.0546,166.4372,-30.28,99,23,2.0,RU,1699741811
33,borba,-4.3878,-59.5939,31.02,49,65,0.65,BR,1699742088
34,nemuro,43.3236,145.575,2.54,63,2,7.4,JP,1699742089
35,palmeiras de goias,-16.805,-49.9258,30.3,34,95,2.3,BR,1699742089
36,edinburgh of the seven seas,-37.0676,-12.3116,14.27,82,51,7.68,SH,1699741972
37,wailua homesteads,22.0669,-159.378,27.44,76,40,7.72,US,1699742007
38,hermanus,-34.4187,19.2345,16.25,76,72,3.93,ZA,1699741823
39,thompson,55.7435,-97.8558,1.09,80,75,3.6,CA,1699742089
40,bethel,41.3712,-73.414,9.2,60,100,3.6,US,1699742089
41,isafjordur,66.0755,-23.124,1.38,86,100,2.32,IS,1699742089
42,coquimbo,-29.9533,-71.3436,16.85,72,0,5.66,CL,1699742089
43,belen,36.4891,36.2233,15.22,55,40,1.03,TR,1699742089
44,birao,10.2849,22.7882,25.29,68,74,2.09,CF,1699742089
45,codrington,-38.2667,141.9667,15.03,51,65,6.22,AU,1699741968
46,invercargill,-46.4,168.35,17.79,55,100,7.15,NZ,1699742090
47,bairnsdale,-37.8333,147.6167,15.03,70,3,1.34,AU,1699742090
48,avarua,-21.2078,-159.775,23.03,83,100,4.63,CK,1699741983
49,tsiombe,-25.3,45.4833,20.31,69,0,5.86,MG,1699742062
50,yuzhno-kurilsk,44.0306,145.8556,2.43,80,34,6.74,RU,1699742090
51,saipan,15.1355,145.701,29.39,79,40,8.75,MP,1699742090
52,upata,8.0086,-62.3989,28.44,65,98,1.58,VE,1699742090
53,kidal,18.4411,1.4078,26.08,10,0,4.58,ML,1699742090
54,sumbe,-11.2061,13.8437,24.98,89,100,2.17,AO,1699742090
55,ploudalmezeau,48.5333,-4.65,14.14,94,100,10.8,FR,1699742090
56,norderney,53.7,7.15,8.34,97,21,5.9,DE,1699742090
57,mabaruma,8.2,-59.7833,25.89,84,100,2.3,GY,1699742090
58,jijiga,9.35,42.8,17.19,77,97,3.86,ET,1699742020
59,kone,-21.0595,164.8658,25.49,55,42,3.8,NC,1699742090
60,udachny,66.4167,112.4,-13.06,85,70,7.29,RU,1699742091
61,chachapoyas,-6.2317,-77.869,14.8,94,75,1.55,PE,1699742091
62,ceeldheer,3.8488,47.1806,25.12,88,86,2.63,SO,1699742091
63,ulanhot,46.0833,122.0833,-10.31,65,6,2.57,CN,1699742091
64,zhenlai,45.8495,123.2973,-9.52,59,15,3.09,CN,1699742091
65,stroitel',50.7854,36.4831,6.9,72,75,8.0,RU,1699742091
66,port mathurin,-19.6833,63.4167,24.92,79,9,1.35,MU,1699741991
67,kuala terengganu,5.3302,103.1408,24.97,100,20,1.03,MY,1699742091
68,ad dawadimi,24.5077,44.3924,21.64,27,24,4.13,SA,1699742091
69,blackmans bay,-43.0167,147.3167,13.07,65,100,1.79,AU,1699742091
70,ta`u,-14.2336,-169.5144,27.61,80,36,4.05,AS,1699742091
71,ishikawa,26.4233,127.8214,20.19,88,75,4.63,JP,1699742091
72,urangan,-25.3,152.9,23.55,60,13,4.31,AU,1699742091
73,labrador city,52.9463,-66.9114,-6.05,86,100,5.66,CA,1699741809
74,kristiansund,63.1115,7.732,2.36,69,40,2.06,NO,1699742092
75,puerto natales,-51.7236,-72.4875,5.8,58,62,4.43,CL,1699741946
76,ugoofaaru,5.6667,73.0,27.92,74,85,1.54,MV,1699742092
77,chonchi,-42.6128,-73.8092,8.4,79,66,4.04,CL,1699742092
78,saint-francois,46.4154,3.9054,8.14,99,0,1.03,FR,1699742018
79,saldanha,-33.0117,17.9442,15.03,89,3,4.37,ZA,1699742092
80,broome,42.2506,-75.833,4.83,75,100,3.6,US,1699742092
81,iqaluit,63.7506,-68.5145,-10.15,79,75,7.2,CA,1699742009
82,panambi,-28.2925,-53.5017,22.29,86,57,5.45,BR,1699742092
83,rusk,31.796,-95.1502,16.84,53,100,1.54,US,1699742092
84,qaqortoq,60.7167,-46.0333,-3.19,68,60,3.93,GL,1699741833
85,utrik,11.2278,169.8474,27.32,85,99,8.52,MH,1699742092
86,badger,64.8,-147.5333,-8.86,88,75,2.06,US,1699741827
87,matveyev kurgan,47.5645,38.8695,9.73,53,100,6.86,RU,1699742092
88,padang,-0.9492,100.3543,23.03,89,43,1.12,ID,1699742009
89,san pedro pochutla,15.7333,-96.4667,31.84,69,25,2.28,MX,1699742026
90,lebu,-37.6167,-73.65,9.99,57,24,5.14,CL,1699741958
91,vilhena,-12.7406,-60.1458,29.12,65,40,7.72,BR,1699742093
92,hithadhoo,-0.6,73.0833,27.24,82,59,5.05,MV,1699742093
93,grand falls-windsor,48.9332,-55.6649,1.39,89,100,0.45,CA,1699742093
94,smithers,54.7804,-127.1743,3.18,93,100,1.54,CA,1699742093
95,college,64.8569,-147.8028,-8.82,86,75,2.06,US,1699741831
96,afaahiti,-17.75,-149.2833,29.93,80,69,5.76,PF,1699742093
97,taltal,-25.4,-70.4833,18.36,71,19,2.56,CL,1699741820
98,port alfred,-33.5906,26.891,17.88,85,36,1.34,ZA,1699742093
99,colindres,43.3864,-3.4353,17.28,93,100,3.07,ES,1699742093
100,labytnangi,66.6572,66.4183,-9.09,96,77,2.55,RU,1699742093
101,west island,-12.1568,96.8225,25.99,83,75,3.09,CC,1699742093
102,morristown,36.214,-83.2949,15.03,42,0,1.54,US,1699742070
103,praia da vitoria,38.7333,-27.0667,20.14,83,20,7.77,PT,1699742093
104,newberry,34.2746,-81.6187,10.69,97,100,2.7,US,1699742094
105,kamyzyak,46.11,48.0736,-0.01,100,69,3.0,RU,1699742094
106,stanley,54.868,-1.6985,4.6,95,75,0.51,GB,1699742033
107,goynuk,40.4003,30.7883,15.71,63,100,6.2,TR,1699742094
108,campos dos goytacazes,-21.75,-41.3,26.03,83,0,6.69,BR,1699741890
109,lompoc,34.6391,-120.4579,29.32,25,0,4.63,US,1699742094
110,east london,-33.0153,27.9116,18.65,72,54,7.66,ZA,1699741835
111,mwanga,-4.8,38.2,22.51,95,64,0.72,TZ,1699742094
